1,26,3,477.89,48-(283)734-9721
2,24,1,843.94,48-(616)993-9818
3,34,2,174.76,86-(975)934-7624
4,27,3,786.07,261-(968)700-2563
5,33,3,645.69,33-(263)284-4455
6,25,1,637.76,86-(297)498-1369
7,22,2,527.42,33-(847)748-3582
8,33,2,140.87,504-(128)513-4678
9,33,1,843.51,48-(748)666-9907
10,31,3,952.41,7-(628)902-2179
11,24,2,441.64,86-(317)796-9256
12,20,2,748.06,62-(920)640-1414
13,24,2,341.55,63-(968)405-7556
14,28,2,880.86,86-(899)705-5577
15,38,2,434.62,223-(497)163-0090
16,29,1,590.89,503-(923)178-9030
17,29,1,790.57,86-(561)301-3946
18,39,3,125.51,62-(122)867-3407
19,35,3,402.21,1-(213)917-1365
20,22,2,296.9,351-(545)731-0409
21,38,1,275.5,63-(482)556-5681
22,40,3,621.15,234-(449)949-2742
23,29,1,484.25,33-(164)778-7086
24,27,2,348.1,86-(352)349-6025
25,38,1,401.24,256-(739)584-2449
26,31,1,488.97,62-(757)294-8940
27,27,2,759.53,48-(968)759-9329
28,33,1,132.73,62-(860)816-1850
29,30,3,803.89,63-(952)451-3179
30,31,3,444.75,33-(381)410-3005
31,27,1,667.52,62-(335)422-6597
32,30,1,579.21,965-(612)885-1488
33,28,2,583.91,86-(860)403-4569
34,36,1,283.84,86-(639)948-5637
35,33,1,864.42,855-(981)982-8653
36,26,2,396.33,86-(678)321-1248
37,23,1,523.87,1-(210)422-5040
38,29,1,438.59,257-(282)257-7842
39,27,2,330.73,386-(113)209-4579
40,40,2,135.68,55-(221)745-2928
41,30,3,281.28,33-(129)599-8440
42,31,1,359.83,7-(568)963-6002
43,33,1,176.71,46-(312)439-7836
44,35,1,331.16,63-(675)725-6716
45,26,1,455.57,967-(757)212-2001
46,34,2,149.04,63-(874)233-5888
47,30,2,792.66,216-(599)824-8690
48,22,1,744.68,7-(280)474-9004
49,30,1,800.37,1-(500)709-9041
50,40,2,836.5,62-(882)785-5101
51,30,2,931.8,30-(155)961-5813
52,23,1,192.36,234-(802)646-3867
53,21,2,393.32,86-(635)501-0139
