1,25,2,583.13,86-(509)138-8843
2,33,2,697.94,62-(245)353-1851
3,32,2,273.3,1-(208)876-4904
4,36,3,380.15,1-(930)641-9158
5,33,2,356.57,62-(476)923-9828
6,27,1,413.98,86-(790)861-7957
7,36,1,892.19,55-(247)594-6018
8,31,1,427.79,86-(646)225-1922
9,40,2,913.44,51-(956)928-0817
10,39,1,762.89,62-(309)875-5532
11,32,2,831.88,62-(882)554-0541
12,37,1,480.18,372-(318)837-7936
13,34,1,305.81,355-(447)317-9553
14,32,2,255.87,62-(759)627-7470
15,39,3,334.24,86-(189)533-8753
16,31,3,918.39,62-(155)396-1865
17,34,3,349.65,93-(503)545-9361
18,20,2,509.28,976-(155)381-0456
19,37,3,227.35,55-(496)708-3714
20,25,3,594.48,55-(303)575-7744
21,29,2,351.74,55-(271)126-0784
22,29,2,342.19,967-(836)744-5748
23,38,1,594.49,234-(383)544-9069
24,23,2,723.55,380-(753)460-3750
25,40,1,452.03,7-(297)503-8507
26,30,3,868.07,357-(136)872-4910
27,36,2,797.04,420-(274)210-9129
28,28,2,607.71,55-(710)225-6871
29,32,3,570.47,62-(351)105-2243
30,25,3,249.94,48-(382)663-5856
31,21,2,697.03,81-(315)275-8811
32,37,3,471.25,33-(228)320-5012
33,30,1,652.42,54-(656)734-1286
34,29,2,266.68,86-(882)843-6213
35,28,1,860.14,86-(646)778-7152
36,21,2,704.57,30-(320)419-7226
37,33,3,190.77,386-(663)535-7378
38,25,2,267.8,961-(332)318-8704
39,36,2,136.73,55-(218)279-6557
40,30,2,694.65,47-(125)957-8232
41,20,1,671.36,86-(929)467-4796
42,20,2,419.09,86-(424)533-4652
43,36,1,244.13,63-(100)924-7886
44,34,1,536.66,86-(538)640-5460
45,39,3,714.34,380-(630)754-0961
46,34,3,184.05,504-(790)207-2991
47,32,2,433.1,98-(885)617-1173
48,37,1,621.04,58-(705)796-5120
49,35,3,624.71,54-(415)582-8687
50,38,2,315.52,55-(220)423-4063
51,35,2,769.87,48-(454)636-2036
52,24,1,182.86,251-(527)592-9586
53,35,1,393.41,965-(579)299-9148
54,25,1,600.16,351-(401)874-9181
55,23,3,991.83,503-(213)304-1353
56,31,3,797.82,62-(707)147-7360
57,34,2,250.53,33-(737)537-8655
58,23,3,886.7,33-(489)818-2532
59,39,3,920.69,62-(723)754-5834
60,24,2,181.99,86-(464)725-0547
61,27,2,393.77,359-(191)906-4307
62,37,2,541.04,260-(345)356-8651
63,39,1,472.19,62-(638)827-4913
64,33,2,131.0,62-(348)548-9122
65,22,3,387.29,351-(692)635-3482
66,29,1,154.25,7-(591)548-4897
67,30,1,388.77,420-(279)905-4713
68,28,1,748.14,7-(782)418-2883
69,26,3,844.44,389-(740)475-6076
70,29,2,531.26,62-(230)935-1904
71,25,3,944.0,30-(414)612-5527
72,34,2,885.66,992-(577)721-0179
73,30,2,935.94,386-(331)409-0296
74,40,2,934.58,7-(483)212-0077
75,39,3,413.57,62-(241)483-3745
76,39,3,918.57,86-(397)258-4460
77,27,3,591.51,48-(694)281-0022
78,40,2,586.56,86-(900)167-0488
79,25,1,477.8,358-(352)843-9280
80,20,3,214.45,591-(529)228-2461
81,23,1,447.35,1-(445)965-2466
82,31,1,721.79,66-(262)467-8053
83,20,2,626.64,46-(124)183-0717
84,25,3,641.89,52-(300)480-7946
85,21,3,119.23,62-(398)989-2600
86,23,2,320.6,86-(962)327-8118
87,35,1,521.09,63-(965)701-6264
88,27,1,237.68,66-(803)592-1651
89,21,1,954.02,86-(507)520-4266
90,24,3,947.1,66-(858)692-6455
91,25,2,485.95,1-(331)239-5381
92,37,3,170.92,55-(326)740-4571
93,26,3,206.58,62-(930)757-9385
94,38,1,435.82,55-(596)966-7545
95,24,1,555.15,351-(745)330-5850
96,28,3,171.34,381-(461)502-1753
97,29,2,562.28,63-(471)654-7695
98,22,2,855.72,51-(286)115-1686
99,26,3,447.2,7-(791)574-6420
100,39,1,271.32,385-(762)533-5026
